"","hr0","hr0.25","hr0.5","hr1","hr12","hr2","hr24","hr4","hr8"
"AT1G01060",-0.493754635674358,0.0383917032426589,-0.24156408132352,1.28158677050519,-0.716602829899979,-0.857534402828799,-1.1890691085111,1.80275481200748,0.375791772482424
"AT1G01260",0.118070006330475,-1.26480412904912,-0.927316728104185,-1.09305911875478,0.850508827613445,0.882899241581062,0.316264558263378,-0.467049997598542,1.58448733971826
"AT1G01380",1.23069229240904,0.437031547021499,1.14870038179743,-0.192892790289774,-0.082078749571297,-0.702138898072207,0.816353475262322,-0.977671903321996,-1.67799535523501
"AT1G01520",-0.477669849475332,-0.166093087743156,0.146600250541491,2.57414644413335,-0.572475268675326,-0.583643951080464,-0.526856226181254,-0.00601187962506927,-0.387996431894243
"AT1G01580",0.566553312121403,0.886705666768319,-1.30042408427468,-0.353893095757973,-1.02544467765986,1.25014804525272,0.815982796163777,-1.26943297810236,0.429805015488659
"AT1G02030",1.39243508059937,-0.262916473338282,-0.60006841257669,1.06700850101687,1.02111243440364,-0.849485025835175,-0.845062854929479,0.429835006092636,-1.35285825543288
"AT1G02230",1.42388148282227,-1.09282602403779,0.101631428791511,-0.689946467754166,0.803602771693841,0.623563186074508,0.894792553450009,-1.43557689207159,-0.629122038968593
"AT1G02340",1.12925470103543,0.560143448358881,-0.556673512522721,1.47191547428316,-0.834840844564286,-0.549252387555313,-0.486681586590852,-1.46916380460718,0.73529851216288
"AT1G02810",-0.318700256039469,2.05482637544387,1.25125085880909,0.133741521272486,-0.501467994754087,-0.655535901354091,-0.473951238311598,-0.549527935341695,-0.940635429724508
"AT1G03040",-1.19993274445672,-0.960668529502496,-1.25205367214111,-0.297693005961656,1.18180040947493,0.301842563347536,0.288970898972443,1.48478653832732,0.452947541939755
"AT1G03106",-0.468530376472035,-0.594689477500442,2.55243412892025,-0.608061630519014,-0.102410092050216,-0.146483355178044,0.143284257603596,-0.08039949478565,-0.69514396001845
"AT1G03170",-0.676403875899602,0.275023983495551,-0.215500614471977,1.71449246234886,0.341286496673225,-1.09025319714337,-0.653579542234961,1.31481982296857,-1.0098855357363
"AT1G03790",1.10314073582387,-0.889439987006606,1.75056234065888,-1.42295382475855,-0.359808614369418,0.324431125494037,0.0884926382488493,-0.788888928748829,0.19446451465777
"AT1G03800",1.50507850324836,-0.13332960614879,1.01891938865612,-0.295197106810288,-1.25014772445297,-0.324414924805961,-0.500695286068077,-1.1660930899921,1.14587984637371
"AT1G04990",0.379469407889364,1.07684385347358,0.300276071554682,1.49310064068805,-0.545087731718944,-0.60300315849778,0.0908016753357122,-0.288547573622111,-1.90385318510255
"AT1G05230",-0.984522805654524,-1.07684513586303,-0.997219624021083,-0.835652194543825,0.00726664719659248,1.3535191275317,0.493961828356975,1.12587943772098,0.913612719276218
"AT1G05420",-1.49565910347111,-0.415261192202343,-0.065144328529607,0.609393188017331,0.67152104742232,-0.413573747832122,0.275548020868734,1.86053342621579,-1.02735731048899
"AT1G05710",1.28176081676835,0.883200407432943,-0.906817768101996,0.707616649428844,-0.849943025285093,-0.536960781556005,-0.169762435099428,-1.45570204920927,1.04660818562166
"AT1G05805",-0.845215984475929,-0.0394936171426918,-0.390307076228344,0.263206375620152,-0.876494194019133,0.729400816124672,0.259440335499016,-1.176666021876,2.07612936649825
