Feature,Importance,Target Gene
AT1G51140,0.2961095823175078,AT1G01060
AT4G36730,0.194389260582232,AT1G01060
AT4G36780,0.20441641133754834,AT1G01060
AT5G37020,0.3050847457627119,AT1G01060
AT1G51140,0.06111372341576752,AT1G01520
AT4G36730,0.3813559322033898,AT1G01520
AT4G36780,0.3305084745762712,AT1G01520
AT5G37020,0.22702186980457145,AT1G01520
AT1G51140,0.35593220338983056,AT1G02030
AT4G36730,0.41949152542372886,AT1G02030
AT4G36780,0.12711864406779663,AT1G02030
AT5G37020,0.09745762711864409,AT1G02030
AT1G51140,0.34586165813573005,AT1G02340
AT4G36730,0.08710778766478737,AT1G02340
AT4G36780,0.24760496939806054,AT1G02340
AT5G37020,0.319425584801422,AT1G02340
AT1G51140,0.1248637077166033,AT1G03170
AT4G36730,0.3088131962514175,AT1G03170
AT4G36780,0.4773400451845216,AT1G03170
AT5G37020,0.08898305084745764,AT1G03170
AT1G51140,0.26010155904435733,AT1G05420
AT4G36730,0.2759429593326701,AT1G05420
AT4G36780,0.20517674118937945,AT1G05420
AT5G37020,0.2587787404335931,AT1G05420
AT1G51140,0.4044655895833301,AT1G05710
AT4G36730,0.07756825017855139,AT1G05710
AT4G36780,0.2584745762711864,AT1G05710
AT5G37020,0.259491583966932,AT1G05710
AT1G51140,0.33034095690402293,AT1G06040
AT4G36730,0.15254237288135597,AT1G06040
AT4G36780,0.23366892352299984,AT1G06040
AT5G37020,0.28344774669162126,AT1G06040
AT1G51140,0.3342911200146922,AT1G07010
AT4G36730,0.11864406779661017,AT1G07010
AT4G36780,0.3182512528666637,AT1G07010
AT5G37020,0.2288135593220339,AT1G07010
AT1G51140,0.4328468111484723,AT1G07128
AT4G36730,0.25862031649201134,AT1G07128
AT4G36780,0.16223330733404953,AT1G07128
AT5G37020,0.14629956502546687,AT1G07128
AT1G51140,0.3987938990668473,AT1G07160
AT4G36730,0.0491091520345312,AT1G07160
AT4G36780,0.2076271186440678,AT1G07160
AT5G37020,0.34446983025455374,AT1G07160
AT1G51140,0.4125565962294707,AT1G10120
AT4G36730,0.2011578028676227,AT1G10120
AT4G36780,0.05637337536885972,AT1G10120
AT5G37020,0.3299122255340469,AT1G10120
AT1G51140,0.2838983050847458,AT1G10370
AT4G36730,0.2923728813559322,AT1G10370
AT4G36780,0.22033898305084745,AT1G10370
AT5G37020,0.2033898305084746,AT1G10370
AT1G51140,0.4392959532247624,AT1G10480
AT4G36730,0.14490450686876374,AT1G10480
AT4G36780,0.2669491525423729,AT1G10480
AT5G37020,0.1488503873641009,AT1G10480
AT1G51140,0.2033898305084746,AT1G12370
AT4G36730,0.3432203389830508,AT1G12370
AT4G36780,0.3008474576271186,AT1G12370
AT5G37020,0.15254237288135594,AT1G12370
AT1G51140,0.4279661016949153,AT1G13670
AT4G36730,0.3432203389830508,AT1G13670
AT4G36780,0.07627118644067797,AT1G13670
AT5G37020,0.15254237288135594,AT1G13670
AT1G51140,0.31407300165708796,AT1G13740
AT4G36730,0.22765121014634648,AT1G13740
AT4G36780,0.254885957688091,AT1G13740
AT5G37020,0.2033898305084746,AT1G13740
AT1G51140,0.2669491525423729,AT1G14345
AT4G36730,0.2584745762711864,AT1G14345
AT4G36780,0.3135593220338983,AT1G14345
AT5G37020,0.16101694915254236,AT1G14345
AT1G51140,0.15021692417594312,AT1G14430
AT4G36730,0.28693932719427634,AT1G14430
AT4G36780,0.4992844265958822,AT1G14430
AT5G37020,0.0635593220338983,AT1G14430
AT1G51140,0.1906779661016949,AT1G16720
AT4G36730,0.25,AT1G16720
AT4G36780,0.3347457627118644,AT1G16720
AT5G37020,0.2245762711864407,AT1G16720
AT1G51140,0.2122065406030721,AT1G17100
AT4G36730,0.15921035438273057,AT1G17100
AT4G36780,0.16522375266880643,AT1G17100
AT5G37020,0.46335935234539094,AT1G17100
AT1G51140,0.37420338156512944,AT1G17920
AT4G36730,0.19752908321868656,AT1G17920
AT4G36780,0.06062086203040975,AT1G17920
AT5G37020,0.36764667318577426,AT1G17920
AT1G51140,0.13135593220338984,AT1G18330
AT4G36730,0.16618149325041612,AT1G18330
AT4G36780,0.26083688300715985,AT1G18330
AT5G37020,0.4416256915390342,AT1G18330
AT1G51140,0.2711864406779661,AT1G18810
AT4G36730,0.3728813559322034,AT1G18810
AT4G36780,0.15254237288135594,AT1G18810
AT5G37020,0.2033898305084746,AT1G18810
AT1G51140,0.15677966101694915,AT1G19490
AT4G36730,0.4226824655470372,AT1G19490
AT4G36780,0.25670490078333535,AT1G19490
AT5G37020,0.16383297265267832,AT1G19490
AT1G51140,0.2627118644067796,AT1G22680
AT4G36730,0.4464164834342679,AT1G22680
AT4G36780,0.21755897403457547,AT1G22680
AT5G37020,0.07331267812437683,AT1G22680
AT1G51140,0.12556486097478506,AT1G23010
AT4G36730,0.22770199808704336,AT1G23010
AT4G36780,0.35495021955154055,AT1G23010
AT5G37020,0.2917829213866311,AT1G23010
AT1G51140,0.211864406779661,AT1G26790
AT4G36730,0.17825871730932114,AT1G26790
AT4G36780,0.20105172472987357,AT1G26790
AT5G37020,0.40882515118114426,AT1G26790
AT1G51140,0.413540327960145,AT1G27740
AT4G36730,0.3250429762327691,AT1G27740
AT4G36780,0.11612068898900757,AT1G27740
AT5G37020,0.14529600681807842,AT1G27740
AT1G51140,0.32278522910495283,AT1G28600
AT4G36730,0.2400912413335487,AT1G28600
AT4G36780,0.2486239673949038,AT1G28600
AT5G37020,0.18849956216659475,AT1G28600
AT1G51140,0.4855312720087628,AT1G34520
AT4G36730,0.3093220338983051,AT1G34520
AT4G36780,0.15006194833022027,AT1G34520
AT5G37020,0.05508474576271186,AT1G34520
AT1G51140,0.35005065249186623,AT1G42550
AT4G36730,0.1228813559322034,AT1G42550
AT4G36780,0.2982544322538964,AT1G42550
AT5G37020,0.2288135593220339,AT1G42550
AT1G51140,0.39093782167425867,AT1G48100
AT4G36730,0.34559816661385073,AT1G48100
AT4G36780,0.1440677966101695,AT1G48100
AT5G37020,0.11939621510172113,AT1G48100
AT1G51140,0.19809078736985833,AT1G49010
AT4G36730,0.12714552919566655,AT1G49010
AT4G36780,0.2457627118644068,AT1G49010
AT5G37020,0.42900097157006833,AT1G49010
AT1G51140,0.23728813559322035,AT1G50020
AT4G36730,0.3728813559322034,AT1G50020
AT4G36780,0.19915254237288135,AT1G50020
AT5G37020,0.1906779661016949,AT1G50020
AT1G51140,0.2854457463048086,AT1G50250
AT4G36730,0.13412678622383925,AT1G50250
AT4G36780,0.34737662001372493,AT1G50250
AT5G37020,0.2330508474576271,AT1G50250
AT1G51140,0.211864406779661,AT1G51140
AT4G36730,0.4110169491525424,AT1G51140
AT4G36780,0.25,AT1G51140
AT5G37020,0.1271186440677966,AT1G51140
AT1G51140,0.10484419985678103,AT1G52200
AT4G36730,0.31243505952753153,AT1G52200
AT4G36780,0.45560209654789086,AT1G52200
AT5G37020,0.12711864406779663,AT1G52200
AT1G51140,0.3093220338983051,AT1G58460
AT4G36730,0.029661016949152543,AT1G58460
AT4G36780,0.3983050847457627,AT1G58460
